Pipe ,gasrate ,watercut ,corrsionrate , gasrate_group , watercut_group
1,5,10,0.8,1,0
2,4,2,0,1,0
3,3,2,0,0,0
4,1,15,3.7,0,1
5,6,4,1,1,0
6,5,5,0,1,0
7,2,20,4.6,0,1
8,4,3,0,1,0
9,4,4,0,1,0
10,4,15,1,1,1
11,5,3,0,1,0
12,3,4,0.2,0,0
13,3,10,1,0,0
14,2,20,3,0,1
15,4,19,1,1,1
16,2,12,2,0,1
17,1,32,7,0,1
18,1,4,2,0,0
19,6,25,0.6,1,1
20,3,29,2.5,0,1
21,4,12,0,1,1
22,6,14,0.4,1,1
23,3,12,1.5,0,1
24,5,30,2,1,1
25,7,20,0.3,1,1
26,8,12,0,1,1
27,4,3,0,1,0
28,1,34,6.5,0,1
29,2,23,9,0,1
30,5,9,0,1,0
31,6,21,2,1,1
32,8,2,0,1,0
33,5,31,3,1,1
34,5,20,1.7,1,1
35,5,8,0,1,0
36,4,12,0,1,1
37,2,20,3,0,1
38,2,17,5,0,1
39,3,19,4.6,0,1
40,4,2,0,1,0
41,5,3,0,1,0
42,6,7,0,1,0
43,7,7,0,1,0
44,7,10,0,1,0
45,8,20,2,1,1
46,4,19,4,1,1
47,3,12,3,0,1
48,5,32,2,1,1
49,4,4,0,1,0
50,5,25,1.8,1,1
51,6,20,2,1,1
52,7,17,0,1,1
53,3,19,5,0,1
54,8,2,0,1,0
55,9,3,0,1,0
56,3,15,2,0,1
57,2,4,0,0,0
58,3,5,0,0,0
59,2,20,8,0,1
60,10,3,0,1,0
61,6,4,0,1,0
62,6,15,1,1,1
63,8,3,0,1,0
64,7,4,0,1,0
65,8,19,0,1,1
66,3,12,1,0,1
67,4,32,4,1,1
68,5,4,0,1,0
69,5,25,2.5,1,1
70,5,11,1,1,0
71,5,2,0,1,0
72,5,3,0,1,0
73,5,45,2.9,1,1
74,5,23,1,1,1
75,3,18,4,0,1
76,4,5,0,1,0
77,7,20,0,1,1
78,7,3,0,1,0
79,8,4,0,1,0
80,4,15,1.3,1,1
81,4,3,0,1,0
82,5,4,0,1,0
83,5,19,6,1,1
84,6,16,2,1,1
85,4,19,3.7,1,1
86,2,6,1,0,0
87,2,36,4,0,1
88,3,32,3,0,1
89,3,4,0,0,0
90,4,25,2,1,1
91,3,11,0,0,0
92,3,13,0.6,0,1
93,4,7,0,1,0
94,4,23,3,1,1
95,6,28,2,1,1
96,8,20,0,1,1
97,6,8,0,1,0
98,3,12,1,0,1
99,6,32,7,1,1
100,5,4,0,1,0
101,4,25,5,1,1
102,3,29,7,0,1
103,5,12,3,1,1
104,6,14,2,1,1
105,3,12,0,0,1
106,6,7,0,1,0
107,1,8,2,0,0
108,4,9,0,1,0
109,1,24,4,0,1
110,3,5,0,0,0
